Frame_number,Image_name,left_eyelid_opening_valid,left_eyelid_opening_mm,right_eyelid_opening_valid,right_eyelid_opening_mm
149,frame_149,1,6.10822,1,5.005723
150,frame_150,1,6.189177,1,4.754951
151,frame_151,1,6.056447,1,4.754085
152,frame_152,1,6.179964,1,4.529206
153,frame_153,1,6.096027,1,4.70374
154,frame_154,1,6.259394,1,4.865581
155,frame_155,1,6.09859,1,5.114192
156,frame_156,1,6.037069,1,4.729963
157,frame_157,1,6.081115,1,4.79242
158,frame_158,1,6.211719,1,4.59121
159,frame_159,1,6.152687,1,4.681987
160,frame_160,1,6.093526,1,4.776987
161,frame_161,1,6.237358,1,4.586014
162,frame_162,1,6.177385,1,4.819751
163,frame_163,1,6.272968,1,4.631
164,frame_164,1,6.333358,1,5.216748
165,frame_165,1,6.26764,1,4.655617
166,frame_166,1,6.152965,1,4.724394
167,frame_167,1,6.127916,1,4.736383
168,frame_168,1,6.316691,1,4.821001
169,frame_169,1,6.220909,1,4.496319
170,frame_170,1,6.153968,1,4.653265
171,frame_171,1,6.170461,1,4.724103
172,frame_172,1,6.231683,1,4.835174
173,frame_173,1,6.127424,1,4.612496
174,frame_174,1,6.293093,1,4.543368
175,frame_175,1,6.145239,1,4.430178
176,frame_176,1,6.027238,1,4.52164
177,frame_177,1,5.928166,1,4.466397
178,frame_178,1,5.950182,1,4.287556
179,frame_179,1,6.085874,1,4.395903
180,frame_180,1,6.134416,1,4.523733
181,frame_181,1,6.055421,1,4.840081
182,frame_182,1,5.958335,1,4.621422
183,frame_183,1,6.0704,1,4.55996
184,frame_184,1,6.078454,1,4.519819
185,frame_185,1,6.084835,1,4.628269
186,frame_186,1,6.153823,1,4.706972
187,frame_187,1,6.195286,1,4.428366
188,frame_188,1,6.099589,1,4.544711
189,frame_189,1,6.23596,1,4.33437
190,frame_190,1,6.098971,1,4.588024
191,frame_191,1,6.137087,1,4.553104
192,frame_192,1,6.132369,1,4.453933
193,frame_193,1,0,1,4.607765
194,frame_194,1,5.071104,1,2.246848
195,frame_195,1,2.516863,1,1.519075
196,frame_196,1,3.181948,1,0.955958
197,frame_197,1,5.328805,1,2.657457
198,frame_198,1,6.369748,1,5.532982
199,frame_199,1,8.565698,1,6.698769
200,frame_200,1,8.550351,1,8.550074
201,frame_201,1,9.248165,1,8.119174
202,frame_202,1,9.112963,1,8.567873
203,frame_203,1,9.22267,1,9.097061
204,frame_204,1,9.270524,1,9.062435
205,frame_205,1,9.170347,1,9.47675
206,frame_206,1,9.058902,1,9.452759
207,frame_207,1,9.378749,1,9.232984
208,frame_208,1,9.34749,1,9.355215
209,frame_209,1,9.05065,1,9.313413
210,frame_210,1,8.969159,1,9.406639
211,frame_211,1,9.153082,1,9.549105
212,frame_212,1,9.142079,1,9.720366
213,frame_213,1,8.761701,1,9.585678
214,frame_214,1,9.280439,1,9.539693
215,frame_215,1,9.076209,1,9.667983
216,frame_216,1,9.233689,1,9.699026
217,frame_217,1,9.18151,1,9.709149
218,frame_218,1,9.161022,1,9.885378
219,frame_219,1,9.222329,1,9.685189
220,frame_220,1,8.96398,1,9.813658
221,frame_221,1,9.409765,1,9.566926
222,frame_222,1,9.42816,1,9.98403
223,frame_223,1,9.364078,1,9.852667
224,frame_224,1,9.013958,1,9.919629
225,frame_225,1,8.799689,1,9.571723
226,frame_226,1,8.980663,1,9.783929
227,frame_227,1,8.846419,1,9.634343
228,frame_228,1,8.903877,1,9.599448
229,frame_229,1,9.200487,1,9.7352
230,frame_230,1,9.336025,1,9.556852
231,frame_231,1,8.770672,1,9.383188
232,frame_232,1,8.978502,1,9.384722
233,frame_233,1,8.860362,1,9.304131
234,frame_234,1,8.931205,1,9.528343
235,frame_235,1,8.721433,1,9.220058
236,frame_236,1,8.834581,1,9.386031
237,frame_237,1,8.858789,1,9.615214
238,frame_238,1,9.094716,1,9.378693
239,frame_239,1,8.840251,1,9.257948
240,frame_240,1,8.990244,1,9.460946
241,frame_241,1,8.753942,1,9.493424
242,frame_242,1,9.116369,1,9.496405
243,frame_243,1,8.757373,1,9.383412
244,frame_244,1,8.650359,1,9.288224
245,frame_245,1,8.765524,1,9.397024
246,frame_246,1,8.94497,1,9.40547
247,frame_247,1,8.625783,1,9.534264
248,frame_248,1,9.068035,1,9.595977
249,frame_249,1,9.045128,1,9.527437
250,frame_250,1,8.945131,1,9.279154
251,frame_251,1,9.251102,1,9.372829
252,frame_252,1,8.659774,1,9.252989
253,frame_253,1,8.701853,1,9.414718
254,frame_254,1,8.659046,1,9.490214
255,frame_255,1,8.834753,1,9.454911
256,frame_256,1,8.645425,1,9.521338
257,frame_257,1,9.062038,1,9.467125
258,frame_258,1,9.131039,1,9.354331
259,frame_259,1,8.880929,1,9.493469
260,frame_260,1,8.716348,1,9.331692
261,frame_261,1,8.888672,1,9.411657
262,frame_262,1,8.827869,1,9.573908
263,frame_263,1,8.95237,1,9.26051
264,frame_264,1,8.94839,1,9.430481
265,frame_265,1,8.827356,1,9.358588
266,frame_266,1,8.822169,1,9.410887
267,frame_267,1,9.018479,1,9.388135
268,frame_268,1,9.040606,1,9.427323
269,frame_269,1,9.220468,1,9.40669
270,frame_270,1,8.689229,1,9.346665
271,frame_271,1,8.818514,1,9.518496
272,frame_272,1,9.049549,1,9.353695
273,frame_273,1,9.01023,1,9.357677
274,frame_274,1,9.149861,1,9.351395
275,frame_275,1,8.803351,1,9.446723
276,frame_276,1,8.971506,1,9.591356
277,frame_277,1,8.684509,1,9.437595
278,frame_278,1,8.609589,1,9.441647
279,frame_279,1,9.023049,1,9.432818
280,frame_280,1,8.544605,1,9.442789
281,frame_281,1,9.225625,1,9.344009
282,frame_282,1,9.116079,1,9.267168
283,frame_283,1,8.982327,1,9.349657
284,frame_284,1,8.672403,1,9.324262
285,frame_285,1,8.873128,1,9.468061
286,frame_286,1,8.802013,1,9.434025
287,frame_287,1,9.031227,1,9.344238
288,frame_288,1,9.308163,1,9.343259
289,frame_289,1,8.987244,1,9.506332
290,frame_290,1,8.937085,1,9.44787
291,frame_291,1,8.668046,1,9.438496
292,frame_292,1,8.609753,1,9.51096
293,frame_293,1,8.819911,1,9.46543
294,frame_294,1,9.108778,1,9.412009
295,frame_295,1,8.769552,1,9.187904
296,frame_296,1,9.071575,1,9.465572
297,frame_297,1,8.770502,1,9.305882
298,frame_298,1,9.129283,1,9.239988
299,frame_299,1,9.220718,1,9.443467
300,frame_300,1,9.027561,1,9.351864
301,frame_301,1,8.425827,1,9.291029
302,frame_302,1,8.808411,1,9.501814
303,frame_303,1,9.235811,1,9.210982
304,frame_304,1,9.09932,1,9.480792
305,frame_305,1,8.856939,1,9.412386
306,frame_306,1,9.033263,1,9.155018
307,frame_307,1,7.268721,1,7.169193
308,frame_308,1,3.511027,1,0.917555
309,frame_309,1,2.373036,1,1.233825
310,frame_310,1,3.936429,1,0.966953
311,frame_311,1,4.066081,1,2.417578
312,frame_312,1,4.374978,1,3.230441
313,frame_313,1,4.36924,1,3.593584
314,frame_314,1,4.560564,1,3.529551
315,frame_315,1,4.493522,1,3.363477
